Almont__Precip_mm_day,Almont__Evap_mm_day,Almont__Runoff_mm_day,Billy_Barr__Precip_mm_day,Billy_Barr__Evap_mm_day,Billy_Barr__Runoff_mm_day,Judd_Falls__Precip_mm_day,Judd_Falls__Evap_mm_day,Judd_Falls__Runoff_mm_day,Kettle_Ponds__Precip_mm_day,Kettle_Ponds__Evap_mm_day,Kettle_Ponds__Runoff_mm_day,Mexican_Cut__Precip_mm_day,Mexican_Cut__Evap_mm_day,Mexican_Cut__Runoff_mm_day,Snodgrass_Mountain__Precip_mm_day,Snodgrass_Mountain__Evap_mm_day,Snodgrass_Mountain__Runoff_mm_day,castnet_gothic__Precip_mm_day,castnet_gothic__Evap_mm_day,castnet_gothic__Runoff_mm_day,nrcs_1141__Precip_mm_day,nrcs_1141__Evap_mm_day,nrcs_1141__Runoff_mm_day,nrcs_380__Precip_mm_day,nrcs_380__Evap_mm_day,nrcs_380__Runoff_mm_day,nrcs_680__Precip_mm_day,nrcs_680__Evap_mm_day,nrcs_680__Runoff_mm_day,nrcs_737__Precip_mm_day,nrcs_737__Evap_mm_day,nrcs_737__Runoff_mm_day,wu_KCOCREST10__Precip_mm_day,wu_KCOCREST10__Evap_mm_day,wu_KCOCREST10__Runoff_mm_day,wu_KCOCREST4__Precip_mm_day,wu_KCOCREST4__Evap_mm_day,wu_KCOCREST4__Runoff_mm_day,wu_KCOCREST6__Precip_mm_day,wu_KCOCREST6__Evap_mm_day,wu_KCOCREST6__Runoff_mm_day,wu_KCOMTCRE2__Precip_mm_day,wu_KCOMTCRE2__Evap_mm_day,wu_KCOMTCRE2__Runoff_mm_day,wu_MRMEX__Precip_mm_day,wu_MRMEX__Evap_mm_day,wu_MRMEX__Runoff_mm_day,wu_MTAPC2__Precip_mm_day,wu_MTAPC2__Evap_mm_day,wu_MTAPC2__Runoff_mm_day,date
0.0,0.0,0.136144,1.261214,0.43749,0.526378,1.146056,0.433806,0.52296,0.994698,0.44595,0.504085,0.264858,0.174178,0.488976,1.154024,0.25771,0.384042,1.146056,0.433806,0.52296,4.267016,0.922744,0.051599,1.126483,0.069194,0.334673,0.434696,0.100801,0.002473,0.243144,0.178465,0.557688,0.745017,0.0,0.374948,0.475542,0.0,0.0837,0.63893,0.0,0.335046,0.962204,0.059809,0.10207,0.328915,0.431897,0.613134,2.207765,0.0,0.120518,2014-01-14
0.0,0.0,0.136215,0.611353,0.385873,0.522423,0.582658,0.374938,0.518546,0.58814,0.410749,0.499933,0.0,0.162895,0.484962,0.641437,0.183091,0.38218,0.582658,0.374938,0.518546,0.0,0.033711,0.051825,0.920208,0.076342,0.333397,0.0,0.004187,0.002473,0.0,0.174399,0.552926,0.569547,0.047514,0.373004,0.295637,0.0,0.084049,0.470565,0.0,0.33369,0.765074,0.052685,0.102436,0.0,0.408703,0.60817,0.865873,0.0,0.120791,2014-01-15
0.0,0.0,0.13628,0.0,0.387895,0.518513,0.0,0.374205,0.514187,0.0,0.425306,0.495832,0.0,0.151699,0.481002,0.0,0.031238,0.380315,0.0,0.374205,0.514187,0.0,0.028794,0.052047,0.0,0.001047,0.332112,0.0,0.003427,0.002472,0.0,0.159604,0.548223,0.0,0.046683,0.371063,0.0,0.0,0.084391,0.0,0.0,0.332327,0.0,0.0,0.102793,0.0,0.414143,0.603252,0.0,0.0,0.121056,2014-01-16
0.0,0.0,0.136339,0.0,0.399469,0.514648,0.0,0.389522,0.509883,0.0,0.416188,0.491783,0.0,0.178074,0.477097,0.0,0.030394,0.378449,0.0,0.389522,0.509883,0.0,0.027216,0.052267,0.0,0.2747,0.33082,0.0,0.00337,0.002472,0.0,0.185659,0.543577,0.0,0.114275,0.369128,0.0,0.0,0.084726,0.0,0.0,0.33096,0.0,-0.001366,0.103141,0.0,0.389083,0.598381,0.0,-0.00357,0.121313,2014-01-17
0.0,-0.001236,0.136391,0.0,0.121249,0.510827,0.0,0.097119,0.505633,0.0,0.09599,0.487783,0.0,0.20531,0.473245,0.0,0.025529,0.376582,0.0,0.097119,0.505633,0.0,0.019951,0.052484,0.0,0.311809,0.329521,0.0,0.00405,0.002471,0.0,0.214051,0.53899,0.0,0.059373,0.367198,0.0,-0.001919,0.085054,0.0,-0.00168,0.329588,0.0,-0.003512,0.103482,0.0,0.105362,0.593556,0.0,-0.011469,0.121561,2014-01-18
0.0,-0.000187,0.136436,0.0,0.109945,0.507051,0.0,0.094223,0.501437,0.0,0.151594,0.483834,0.0,0.173654,0.469445,0.0,0.053401,0.374714,0.0,0.094223,0.501437,0.0,0.054891,0.052697,0.0,-0.012296,0.328216,0.0,0.003213,0.002471,0.0,0.179314,0.534461,0.0,0.026947,0.365273,0.0,-0.000623,0.085376,0.0,-0.000377,0.328213,0.0,0.015325,0.103814,0.0,0.057474,0.58878,0.0,-0.021861,0.121801,2014-01-19
0.0,0.0,0.136476,0.0,0.288059,0.503318,0.0,0.271008,0.497294,0.0,0.166871,0.479935,0.0,0.17669,0.465697,0.0,0.031047,0.372848,0.0,0.271008,0.497294,0.0,0.029703,0.052908,0.0,0.03887,0.326906,0.0,0.002689,0.00247,0.0,0.181347,0.529989,0.0,0.0,0.363356,0.0,0.0,0.085691,0.0,0.0,0.326834,0.0,0.0,0.104137,0.0,0.21865,0.584051,0.0,0.0,0.122033,2014-01-20
0.0,0.0,0.13651,0.0,0.228074,0.499629,0.0,0.20557,0.493205,0.0,0.121013,0.476084,1.163321,0.412314,0.462,0.0,0.042813,0.370983,0.0,0.20557,0.493205,0.0,0.03334,0.053116,0.0,0.110773,0.325591,0.0,0.003237,0.00247,1.140547,0.413317,0.525574,0.0,0.0,0.361445,0.0,0.0,0.086,0.0,0.0,0.325453,0.0,0.0,0.104453,1.271224,0.163752,0.57937,0.0,0.0,0.122257,2014-01-21
0.0,0.0,0.136537,0.0,0.195549,0.495982,0.0,0.167096,0.489168,0.0,0.122291,0.472283,1.212824,0.575604,0.458353,0.0,0.050421,0.369119,0.0,0.167096,0.489168,0.0,0.043345,0.053321,0.0,-0.004595,0.324273,0.474409,0.098492,0.002469,1.189081,0.58212,0.521215,0.0,3e-05,0.359541,0.0,0.0,0.086303,0.0,0.008834,0.32407,0.0,-0.001382,0.104761,1.325319,0.116098,0.574738,0.0,-0.003799,0.122473,2014-01-22
0.0,0.0,0.136559,0.0,0.403152,0.492378,0.0,0.389366,0.485183,0.0,0.0,0.468529,0.0,0.20659,0.454755,0.0,0.026491,0.367259,0.0,0.389366,0.485183,0.0,0.020956,0.053524,0.0,0.0,0.322951,0.494597,0.115752,0.002469,0.0,0.218288,0.516912,0.0,0.0,0.357645,0.0,0.0,0.0866,0.0,0.007221,0.322686,0.0,0.0,0.105061,0.0,0.361949,0.570155,0.0,0.0,0.122682,2014-01-23
